alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS85_PV+battery+diesel,0.7491735864410476,Lusaka,85,PV+battery+diesel,vikor,sustainable,10297
Lodwar_PLS85_PV+battery+diesel,0.7491750347378447,Lodwar,85,PV+battery+diesel,vikor,sustainable,10298
Lusaka_PLS85_PV+battery+diesel,0.7491986485810714,Lusaka,85,PV+battery+diesel,vikor,sustainable,10299
Lusaka_PLS85_PV+battery+diesel,0.7491998623774665,Lusaka,85,PV+battery+diesel,vikor,sustainable,10300
Lusaka_PLS85_PV+battery+diesel,0.7493214470185908,Lusaka,85,PV+battery+diesel,vikor,sustainable,10301
Accra_PLS85_PV+battery+diesel,0.7493964461208504,Accra,85,PV+battery+diesel,vikor,sustainable,10302
Accra_PLS85_Diesel only,0.7495172145021167,Accra,85,Diesel only,vikor,sustainable,10303
Lusaka_PLS85_Diesel only,0.7495172145021167,Lusaka,85,Diesel only,vikor,sustainable,10304
Accra_PLS85_Diesel only,0.7495172145021167,Accra,85,Diesel only,vikor,sustainable,10305
Lusaka_PLS85_Diesel only,0.7495172145021167,Lusaka,85,Diesel only,vikor,sustainable,10306
Lodwar_PLS85_Diesel only,0.7495172145021167,Lodwar,85,Diesel only,vikor,sustainable,10307
Accra_PLS85_Diesel only,0.7495172145021167,Accra,85,Diesel only,vikor,sustainable,10308
Lodwar_PLS85_Diesel only,0.7495172145021167,Lodwar,85,Diesel only,vikor,sustainable,10309
Lusaka_PLS85_Diesel only,0.7495172145021167,Lusaka,85,Diesel only,vikor,sustainable,10310
Lodwar_PLS85_Diesel only,0.7495172145021167,Lodwar,85,Diesel only,vikor,sustainable,10311
Accra_PLS85_Diesel only,0.7495172145021167,Accra,85,Diesel only,vikor,sustainable,10312
Lusaka_PLS85_Diesel only,0.7495172145021167,Lusaka,85,Diesel only,vikor,sustainable,10313
Lodwar_PLS85_Diesel only,0.7495172145021167,Lodwar,85,Diesel only,vikor,sustainable,10314
Lusaka_PLS85_PV+battery+diesel,0.7495982912586611,Lusaka,85,PV+battery+diesel,vikor,sustainable,10315
Accra_PLS85_PV+battery+diesel,0.7496258312727297,Accra,85,PV+battery+diesel,vikor,sustainable,10316
Accra_PLS85_PV+battery+diesel,0.749631583376684,Accra,85,PV+battery+diesel,vikor,sustainable,10317
Accra_PLS85_PV+battery+diesel,0.749772868744537,Accra,85,PV+battery+diesel,vikor,sustainable,10318
Lusaka_PLS85_PV+battery+diesel,0.749930883492848,Lusaka,85,PV+battery+diesel,vikor,sustainable,10319
Accra_PLS85_PV+battery+diesel,0.7500466349185864,Accra,85,PV+battery+diesel,vikor,sustainable,10320
Lusaka_PLS85_PV+battery+diesel,0.7501939504813865,Lusaka,85,PV+battery+diesel,vikor,sustainable,10321
Lodwar_PLS85_PV+battery+diesel,0.7501954433481461,Lodwar,85,PV+battery+diesel,vikor,sustainable,10322
Lusaka_PLS85_PV+battery+diesel,0.7502497361699171,Lusaka,85,PV+battery+diesel,vikor,sustainable,10323
Lodwar_PLS85_PV+battery+diesel,0.7502742302664007,Lodwar,85,PV+battery+diesel,vikor,sustainable,10324
Accra_PLS85_PV+battery+diesel,0.7502808297635013,Accra,85,PV+battery+diesel,vikor,sustainable,10325
Lodwar_PLS85_PV+battery+diesel,0.7503291303805834,Lodwar,85,PV+battery+diesel,vikor,sustainable,10326
Lusaka_PLS85_PV+battery+diesel,0.7504414144857258,Lusaka,85,PV+battery+diesel,vikor,sustainable,10327
Lusaka_PLS85_PV+battery+diesel,0.7504698371974592,Lusaka,85,PV+battery+diesel,vikor,sustainable,10328
