alternative,Q,Region,PLS,System,method,profile,rank
Accra_PLS100_PV+battery+diesel,0.30933302981857397,Accra,100,PV+battery+diesel,vikor,economic,2309
Lusaka_PLS100_PV+battery+diesel,0.3093667679140829,Lusaka,100,PV+battery+diesel,vikor,economic,2310
Accra_PLS100_PV+battery+diesel,0.3094773419902459,Accra,100,PV+battery+diesel,vikor,economic,2311
Lusaka_PLS100_Diesel only,0.3095649368079049,Lusaka,100,Diesel only,vikor,economic,2312
Lodwar_PLS100_Diesel only,0.3095649368079049,Lodwar,100,Diesel only,vikor,economic,2313
Lodwar_PLS100_Diesel only,0.3095649368079049,Lodwar,100,Diesel only,vikor,economic,2314
Accra_PLS100_Diesel only,0.3095649368079049,Accra,100,Diesel only,vikor,economic,2315
Accra_PLS100_Diesel only,0.3095649368079049,Accra,100,Diesel only,vikor,economic,2316
Accra_PLS100_Diesel only,0.3095649368079049,Accra,100,Diesel only,vikor,economic,2317
Lodwar_PLS100_Diesel only,0.3095649368079049,Lodwar,100,Diesel only,vikor,economic,2318
Accra_PLS100_Diesel only,0.3095649368079049,Accra,100,Diesel only,vikor,economic,2319
Lusaka_PLS100_Diesel only,0.3095649368079049,Lusaka,100,Diesel only,vikor,economic,2320
Lusaka_PLS100_Diesel only,0.3095649368079049,Lusaka,100,Diesel only,vikor,economic,2321
Lodwar_PLS100_PV+battery+diesel,0.3096248441362349,Lodwar,100,PV+battery+diesel,vikor,economic,2322
Lodwar_PLS100_PV+battery+diesel,0.3096588710077866,Lodwar,100,PV+battery+diesel,vikor,economic,2323
Accra_PLS100_Diesel only,0.30970366421878814,Accra,100,Diesel only,vikor,economic,2324
Accra_PLS100_Diesel only,0.30970366421878814,Accra,100,Diesel only,vikor,economic,2325
Lusaka_PLS100_Diesel only,0.30970366421878814,Lusaka,100,Diesel only,vikor,economic,2326
Lusaka_PLS100_Diesel only,0.30970366421878814,Lusaka,100,Diesel only,vikor,economic,2327
Lodwar_PLS100_Diesel only,0.30970366421878814,Lodwar,100,Diesel only,vikor,economic,2328
Lodwar_PLS100_Diesel only,0.30970366421878814,Lodwar,100,Diesel only,vikor,economic,2329
Accra_PLS100_Diesel only,0.30970366421878814,Accra,100,Diesel only,vikor,economic,2330
Accra_PLS100_Diesel only,0.30970366421878814,Accra,100,Diesel only,vikor,economic,2331
Lodwar_PLS100_Diesel only,0.30970366421878814,Lodwar,100,Diesel only,vikor,economic,2332
Lusaka_PLS100_Diesel only,0.30970366421878814,Lusaka,100,Diesel only,vikor,economic,2333
Lodwar_PLS100_Diesel only,0.30970366421878814,Lodwar,100,Diesel only,vikor,economic,2334
Lusaka_PLS100_Diesel only,0.30970366421878814,Lusaka,100,Diesel only,vikor,economic,2335
Lodwar_PLS100_PV+battery+diesel,0.3098602086691665,Lodwar,100,PV+battery+diesel,vikor,economic,2336
Accra_PLS100_PV+battery+diesel,0.309907982473793,Accra,100,PV+battery+diesel,vikor,economic,2337
Lusaka_PLS100_PV+battery+diesel,0.309980899219168,Lusaka,100,PV+battery+diesel,vikor,economic,2338
Lodwar_PLS100_PV+battery+diesel,0.310005184900504,Lodwar,100,PV+battery+diesel,vikor,economic,2339
Lodwar_PLS100_PV+battery+diesel,0.31012840756587773,Lodwar,100,PV+battery+diesel,vikor,economic,2340
Lodwar_PLS100_PV+battery+diesel,0.31013811092784316,Lodwar,100,PV+battery+diesel,vikor,economic,2341
Accra_PLS100_PV+battery+diesel,0.31013846327762573,Accra,100,PV+battery+diesel,vikor,economic,2342
Lodwar_PLS100_PV+battery+diesel,0.31023062850413985,Lodwar,100,PV+battery+diesel,vikor,economic,2343
Accra_PLS100_PV+battery+diesel,0.3102797631317557,Accra,100,PV+battery+diesel,vikor,economic,2344
Lusaka_PLS100_PV+battery+diesel,0.31049534954410424,Lusaka,100,PV+battery+diesel,vikor,economic,2345
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2346
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2347
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2348
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2349
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2350
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2351
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2352
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2353
Accra_PLS100_PV+battery,0.31049662529498306,Accra,100,PV+battery,vikor,economic,2354
